study_hours,attendance,assignment_score,midterm_score,practice_score,result
5.7,67.7,9.7,4.0,2.8,1
4.7,69.7,7.7,6.2,6.0,1
2.7,58.5,7.1,5.0,7.4,1
3.3,84.1,8.0,9.8,8.4,1
5.2,91.8,6.3,3.4,6.7,1
4.4,93.1,5.8,4.6,8.2,1
0.2,63.7,5.6,4.4,5.1,0
8.3,74.2,7.1,6.3,2.3,1
9.0,58.7,3.6,6.0,2.9,0
1.4,58.5,9.1,7.1,2.3,1
5.5,53.9,8.5,9.6,4.6,1
1.1,96.7,4.8,4.3,6.0,0
6.7,93.8,6.6,7.5,4.9,1
2.8,87.8,3.1,2.2,6.5,0
6.6,73.5,9.8,4.1,5.8,1
7.3,72.0,9.2,5.7,7.4,1
7.7,74.1,9.4,2.2,7.3,1
1.1,74.5,4.7,6.9,4.5,0
9.2,68.9,3.4,7.4,4.8,0
2.3,52.2,3.7,8.0,6.7,1
0.4,51.9,2.7,6.1,6.8,0
5.5,97.4,3.0,6.8,4.5,1
3.7,71.5,2.6,5.2,4.6,1
8.3,97.4,9.9,2.3,7.6,1
8.1,54.0,2.6,2.8,7.2,0
3.2,75.5,3.1,7.2,3.1,0
9.5,56.4,8.6,10.0,5.5,1
2.9,58.9,6.6,2.1,9.1,0
5.2,46.7,8.2,6.5,2.3,0
2.6,51.5,7.0,8.0,8.8,1
9.4,95.4,9.1,8.6,3.3,1
1.6,62.7,7.1,6.4,6.1,1
0.4,78.4,6.2,7.0,5.4,1
4.4,70.6,7.7,7.6,2.1,1
9.9,67.0,5.6,8.9,9.3,1
8.9,74.3,4.8,3.0,5.6,0
7.5,55.3,5.7,9.4,9.6,1
8.9,99.4,3.4,2.2,4.3,0
8.9,90.0,8.4,8.7,8.9,1
5.2,85.8,4.1,2.6,9.4,1
3.2,70.8,3.2,3.6,6.5,0
7.7,53.4,4.0,2.0,3.6,0
6.6,95.6,8.7,5.6,7.5,1
3.7,63.8,4.6,4.7,6.4,1
0.9,47.8,7.5,3.3,9.6,0
7.5,63.8,8.9,5.6,5.5,1
2.6,88.7,2.6,5.2,4.1,0
9.4,79.2,8.1,8.1,3.1,1
2.4,86.3,4.5,9.1,7.6,1
1.2,88.6,3.7,7.2,9.8,1
8.3,56.7,7.5,3.0,2.2,0
1.5,95.8,9.3,4.4,7.9,1
1.8,69.1,4.4,9.3,9.4,1
6.0,80.1,6.6,2.7,2.6,0
8.7,45.1,4.3,5.3,2.9,0
2.0,99.6,6.4,9.5,7.5,1
3.1,60.4,7.0,9.6,7.2,1
7.8,48.4,6.9,5.3,2.6,1
9.7,70.2,7.0,7.3,8.7,1
5.0,52.1,3.1,5.7,6.2,1
1.4,53.4,7.5,8.0,9.3,1
0.1,79.8,7.4,2.3,9.0,0
2.3,66.6,7.5,3.2,8.5,1
1.3,95.7,2.6,6.9,6.1,0
6.8,62.6,5.6,3.9,4.0,0
1.2,84.9,5.3,7.3,6.0,1
5.1,70.4,2.7,4.8,2.8,0
6.9,81.3,3.8,9.1,7.3,1
5.8,78.0,5.5,8.6,3.1,1
2.0,71.0,7.9,5.9,6.1,1
8.0,97.3,3.9,8.2,2.4,1
7.2,63.8,8.6,4.2,4.4,0
7.4,54.7,6.4,6.0,3.9,1
1.3,82.3,8.1,3.6,7.0,1
1.2,91.5,5.8,8.9,8.3,1
9.3,47.2,6.0,8.6,2.5,1
4.0,69.7,7.0,9.2,8.8,1
3.0,94.1,9.4,9.0,8.9,1
4.9,86.2,5.9,9.7,4.7,1
6.6,99.5,6.2,3.8,7.3,1
9.6,74.2,6.8,9.5,5.2,1
2.9,81.3,7.9,6.6,3.2,1
9.2,61.6,2.6,5.4,6.2,1
0.2,97.1,6.1,6.5,2.7,0
5.6,65.1,5.9,4.7,9.0,1
6.3,85.6,9.4,4.3,9.4,1
1.1,67.2,5.9,3.9,8.6,1
1.4,75.9,5.7,2.7,6.5,0
4.2,84.6,9.7,6.0,6.5,1
9.7,73.0,5.6,9.1,9.9,1
6.0,94.9,3.4,7.0,4.0,1
9.3,68.1,3.7,6.2,2.6,1
8.0,80.6,2.8,5.4,6.5,1
4.7,63.8,2.0,5.7,4.6,1
7.8,67.4,5.5,3.7,4.6,0
0.2,69.2,8.2,8.6,2.1,1
1.1,51.9,7.9,3.6,6.8,1
8.3,50.0,2.3,7.7,4.1,0
8.0,81.7,6.6,8.1,3.5,1
2.3,81.1,3.2,6.6,2.3,0
5.3,81.5,9.5,8.9,4.9,1
6.1,46.1,3.3,4.3,9.0,1
8.7,63.0,7.0,9.1,4.7,1
6.0,55.9,4.6,7.8,7.4,1
4.1,87.8,7.1,8.4,8.1,1
3.7,92.3,5.3,7.3,4.6,1
4.3,58.6,8.1,8.8,8.6,1
6.5,81.7,3.8,9.9,7.5,1
8.7,52.1,9.2,5.4,6.5,1
4.5,60.1,6.0,8.5,2.0,0
2.5,52.6,8.0,8.0,2.3,0
2.4,60.6,8.8,5.6,9.9,1
7.5,82.1,10.0,9.4,8.3,1
8.2,95.1,3.8,5.2,9.5,1
1.1,56.1,4.3,6.5,9.2,1
0.7,74.8,4.0,2.8,2.2,0
5.9,83.6,4.1,3.8,8.3,1
1.5,97.4,6.7,8.7,5.6,1
8.2,78.6,9.9,5.2,8.3,1
3.1,59.0,9.9,5.2,2.1,1
1.4,79.4,6.2,4.0,4.3,0
9.2,62.6,7.1,5.9,8.0,1
1.7,98.7,8.9,8.4,8.3,1
2.8,67.0,9.5,9.2,7.0,1
1.5,82.7,3.6,2.6,4.4,0
1.2,46.3,6.2,6.6,4.5,0
0.2,67.0,8.7,5.7,9.7,1
0.6,93.1,4.4,6.9,5.5,0
1.7,78.6,5.5,5.6,5.6,0
0.5,69.4,9.9,5.2,6.4,1
5.9,96.5,9.9,5.8,5.3,1
6.8,92.0,9.2,6.7,6.4,1
3.9,62.7,8.4,6.0,5.5,1
3.2,75.0,4.2,5.8,8.6,1
5.0,71.9,4.6,8.5,9.3,1
8.8,79.8,6.4,8.0,9.5,1
8.5,63.4,6.5,4.7,6.5,1
0.4,58.4,6.0,8.4,5.5,0
1.8,95.2,7.1,8.8,7.6,1
2.4,95.8,5.3,3.2,8.7,1
2.5,91.4,8.0,6.7,6.5,1
5.7,98.8,4.7,4.3,7.6,1
4.2,86.0,4.6,7.9,8.0,1
0.5,87.1,3.0,3.9,7.4,1
3.7,86.9,3.5,7.4,8.0,1
5.2,71.4,8.8,4.0,3.7,1
1.0,70.1,5.6,6.1,6.0,0
8.3,58.2,3.8,9.6,6.7,1
0.5,80.5,8.1,5.1,2.0,0
9.2,60.9,6.4,9.0,8.8,1
1.0,59.2,2.2,9.9,6.9,0
8.4,77.2,4.5,9.0,3.0,1
9.0,67.5,3.4,3.3,8.5,1
9.8,57.0,7.2,8.6,7.7,1
8.0,89.9,4.2,2.3,8.1,1
7.8,92.3,2.5,5.1,5.1,1
6.4,54.2,2.4,9.0,8.8,1
7.8,45.4,6.7,7.5,5.3,1
1.3,63.5,2.2,6.3,6.6,0
5.4,88.9,8.8,5.1,2.0,1
5.1,91.2,3.2,8.5,7.2,1
8.6,52.6,6.9,7.7,7.7,1
4.6,87.6,5.6,5.7,6.5,1
3.9,51.4,5.5,9.1,6.0,1
6.4,66.5,2.6,3.8,8.5,1
2.7,99.9,8.4,3.4,7.5,1
1.4,55.6,9.1,7.1,4.2,1
4.8,53.5,2.1,9.8,9.7,1
4.2,68.3,3.4,4.0,7.7,0
2.3,79.1,9.2,4.0,9.9,1
3.7,96.3,6.4,3.1,9.8,1
3.7,98.9,3.2,8.9,9.4,1
3.3,48.8,3.6,3.8,8.0,0
3.8,52.6,7.3,6.0,6.9,1
6.9,88.5,7.8,9.9,3.4,1
3.0,59.9,6.8,2.1,6.3,0
9.5,93.7,9.6,6.5,8.1,1
9.2,81.5,6.0,6.1,6.2,1
4.8,51.2,4.4,8.5,8.9,1
3.3,90.8,5.8,4.8,2.9,1
5.4,54.7,4.9,5.3,5.0,1
8.5,68.3,3.8,3.3,6.0,0
6.5,75.4,2.4,7.9,5.5,1
8.0,72.5,4.8,8.3,2.9,1
5.3,82.7,7.7,3.1,3.2,1
6.3,80.9,2.1,5.1,8.7,1
2.9,99.6,5.5,9.1,5.9,1
7.3,100.0,7.2,2.0,2.4,0
2.0,73.4,6.9,4.4,2.1,0
6.9,50.2,8.2,6.4,5.8,1
8.6,85.0,8.5,4.7,3.3,1
1.3,98.7,7.7,4.2,7.6,1
6.1,62.5,2.8,5.7,8.4,1
1.0,70.4,5.8,3.5,3.8,0
7.3,68.4,6.8,6.2,6.7,1
0.8,47.8,4.0,7.7,3.2,0
9.4,82.0,2.3,6.6,4.4,1
1.4,64.4,3.8,2.7,9.1,0
9.6,88.3,5.6,8.8,6.4,1
8.0,90.8,5.3,3.4,9.1,1
5.9,90.2,3.4,8.1,3.8,1
7.8,67.9,8.6,4.9,4.6,1
8.0,62.7,9.4,8.3,5.8,1
9.5,86.2,3.6,3.7,5.8,1
2.5,89.1,9.4,3.5,10.0,1
5.9,72.0,2.1,6.0,2.9,0
1.0,94.1,9.4,2.3,8.8,1
6.2,52.9,9.6,3.8,8.9,1
1.7,93.3,2.1,7.8,6.4,1
5.6,50.3,8.1,8.7,4.8,1
5.7,53.4,9.8,2.6,6.2,1
4.7,74.4,9.2,9.1,4.3,1
5.2,48.7,9.8,8.4,8.4,1
7.6,47.9,6.4,9.0,6.0,1
8.0,45.0,2.6,7.6,9.4,1
4.9,69.0,8.8,7.4,7.0,1
6.0,87.6,6.9,6.2,6.1,1
9.3,46.9,6.9,7.2,7.7,1
1.2,80.9,5.3,9.4,6.0,1
1.2,90.3,6.6,2.8,9.2,0
0.9,54.2,3.2,4.5,3.5,0
6.6,53.1,7.9,2.6,9.8,1
4.2,92.3,2.6,9.6,8.5,1
7.7,90.3,7.8,5.6,8.9,1
6.7,74.6,8.8,7.4,5.9,1
3.3,90.1,5.8,8.7,8.7,1
9.0,50.1,6.1,9.9,4.5,1
7.6,66.7,4.5,3.3,8.1,1
2.7,85.6,9.8,8.4,3.1,1
3.6,59.2,7.9,9.1,4.5,1
3.1,86.4,5.0,2.4,5.6,0
1.6,72.7,3.4,8.0,4.6,1
1.5,86.3,3.8,4.8,5.1,0
9.4,70.6,5.7,7.2,8.6,1
4.4,65.2,9.5,6.1,4.1,1
3.8,57.1,7.9,4.1,8.0,1
7.3,56.5,3.7,3.1,2.6,0
5.5,86.3,8.9,2.9,8.1,1
9.4,51.5,5.0,2.8,8.3,1
7.8,49.7,8.8,7.1,5.2,1
4.8,54.7,3.9,4.8,7.8,0
3.8,54.6,6.9,3.7,9.3,0
9.9,90.3,9.4,7.5,8.4,1
7.2,66.9,4.1,7.5,5.1,1
9.5,99.5,7.5,6.3,5.9,1
1.2,52.5,9.9,9.5,8.2,1
8.5,80.9,3.2,5.1,4.3,0
6.4,69.7,2.7,8.7,8.4,1
1.2,66.6,7.4,2.6,4.6,0
5.9,93.1,4.7,7.9,8.4,1
6.9,98.7,2.6,9.9,2.7,1
0.1,93.0,5.8,8.8,2.4,1
4.5,55.6,8.0,6.6,10.0,1
8.3,57.1,4.3,7.0,9.0,1
3.0,81.1,4.7,4.8,9.1,1
4.6,60.9,8.8,7.4,9.6,1
4.4,85.4,6.2,8.2,5.5,1
3.0,76.2,8.7,10.0,4.3,1
9.2,75.3,5.6,5.9,3.0,0
7.8,90.6,9.6,2.5,6.0,1
1.1,84.1,7.2,6.8,3.8,1
10.0,46.5,2.9,3.0,9.5,1
8.8,47.7,9.1,4.0,2.0,1
2.8,78.1,5.9,4.6,3.1,0
8.4,71.7,3.1,7.8,4.0,1
1.1,59.3,3.2,3.5,3.6,0
10.0,68.0,7.5,3.3,3.8,1
6.7,86.7,2.4,2.4,7.2,0
6.5,90.5,4.3,9.0,4.6,1
0.9,75.9,3.1,7.5,6.9,0
9.0,66.2,5.5,2.3,9.1,1
0.3,59.9,5.3,2.2,6.8,0
2.4,73.7,6.2,6.5,7.6,1
1.4,62.3,4.2,4.3,4.9,0
7.8,76.0,2.3,6.8,3.3,0
2.0,82.2,6.9,5.5,4.6,1
9.1,48.6,5.0,9.4,9.7,1
6.6,45.1,7.2,4.3,7.0,1
0.4,56.7,2.9,7.4,4.2,0
0.1,94.2,2.1,2.4,5.6,0
0.5,80.5,4.0,9.6,8.7,1
6.1,54.5,5.7,9.8,7.3,1
8.0,94.0,5.2,7.9,6.5,1
2.4,70.8,8.5,5.7,9.1,1
8.5,71.2,5.0,3.8,7.4,1
0.6,96.5,6.2,8.5,7.1,1
8.0,48.3,6.7,7.9,3.5,1
9.3,56.8,2.2,3.8,2.9,0
7.7,77.2,6.1,5.6,9.7,1
7.0,55.8,4.8,5.7,6.8,0
8.4,82.4,5.4,8.6,5.3,1
0.4,56.8,2.8,7.5,6.7,0
2.0,50.5,8.3,7.1,2.5,0
1.2,56.4,9.5,7.2,8.6,1
5.0,68.3,2.2,4.2,3.7,0
7.5,54.7,6.8,5.0,8.4,1
6.3,52.4,8.1,2.4,6.3,0
8.5,92.3,4.3,8.3,4.2,1
1.6,62.6,8.3,5.5,2.2,0
7.3,64.8,7.1,5.5,8.5,1
1.9,48.0,9.4,4.0,3.4,0
2.7,64.7,9.8,3.7,2.4,0
7.1,59.6,2.3,6.7,8.0,0
9.8,78.6,5.6,3.9,4.8,1
6.1,56.3,6.4,2.5,5.1,0
0.5,93.9,3.2,8.1,4.0,1
6.2,96.1,4.7,5.0,8.9,1
0.4,50.5,9.9,5.0,4.4,0
8.8,50.9,2.1,5.5,3.7,1
7.1,51.3,5.6,8.5,4.5,1
1.7,79.1,8.7,4.6,3.6,1
0.9,51.7,4.6,8.1,4.5,0
1.8,91.9,5.8,9.5,2.7,1
9.8,86.5,9.8,7.3,3.3,1
4.6,90.1,5.8,5.5,5.3,1
7.8,73.9,3.0,8.0,9.0,1
6.4,99.8,2.4,5.7,2.5,0
5.7,47.4,9.6,5.3,3.7,1
1.5,67.1,4.1,6.2,9.3,1
9.5,62.8,6.0,4.5,9.1,1
3.0,97.2,2.7,2.8,7.4,0
5.8,76.7,5.4,5.3,3.9,0
7.0,89.3,9.4,3.0,5.4,1
6.5,54.4,6.0,5.3,3.7,1
9.4,98.8,9.8,6.5,3.0,1
1.5,72.4,4.1,9.4,5.0,0
5.1,72.2,6.0,2.3,6.6,0
4.0,98.4,8.9,7.0,4.9,1
4.7,65.9,5.6,5.7,6.9,0
1.2,66.9,4.2,2.2,4.4,0
1.3,77.2,8.8,4.0,4.8,1
2.8,52.0,5.1,2.9,8.3,0
3.0,62.7,6.2,3.7,9.0,0
4.3,55.6,9.8,4.2,4.6,1
6.1,50.7,3.5,5.2,6.6,0
6.3,92.6,4.4,6.2,4.2,1
4.1,77.4,2.2,2.0,2.4,0
4.1,64.7,5.1,3.3,7.9,0
2.2,67.5,3.6,2.7,3.4,0
5.9,68.7,7.4,6.4,5.4,1
3.2,79.8,3.5,4.6,5.9,1
0.4,96.0,7.4,6.4,3.5,0
4.2,96.3,4.1,3.8,2.8,0
4.7,66.5,4.8,2.2,4.8,0
2.3,63.1,4.8,9.5,9.6,1
5.7,69.8,7.7,2.9,6.9,1
5.7,76.2,5.7,3.0,5.1,0
7.0,70.4,4.9,3.2,2.3,0
6.5,81.2,8.8,9.9,6.8,1
6.5,75.5,6.6,6.9,2.7,1
3.2,62.6,3.7,6.9,6.3,0
7.9,64.0,9.2,9.9,8.0,1
5.5,65.8,4.7,2.7,5.4,1
4.3,50.2,2.3,9.8,4.4,1
6.3,54.1,6.0,3.6,2.4,0
3.6,84.8,3.0,7.0,2.2,0
5.1,66.4,3.9,5.4,5.4,1
7.4,56.8,8.0,5.1,9.1,1
8.9,75.9,3.0,9.4,4.0,1
9.2,86.6,8.5,3.2,6.6,1
5.0,59.2,9.5,10.0,7.5,1
5.2,90.5,6.9,5.0,2.5,1
8.0,96.0,7.7,7.2,3.2,1
3.1,77.9,7.7,9.7,4.7,1
8.4,81.8,9.9,2.5,7.4,1
4.9,47.9,4.7,9.4,5.5,1
1.2,97.0,3.3,6.5,7.9,1
0.7,66.6,6.2,7.6,8.9,1
8.4,95.8,6.3,3.2,8.1,1
0.6,76.8,3.4,6.3,9.9,1
2.8,45.3,6.9,7.4,8.0,1
3.3,47.1,2.1,5.6,8.8,0
1.7,82.4,9.4,3.2,8.7,1
3.1,75.9,4.1,4.0,7.8,0
7.4,46.5,2.3,8.8,8.4,1
0.1,85.9,2.9,2.3,9.5,0
8.3,91.9,3.9,7.7,5.8,1
8.6,72.3,4.2,10.0,7.1,1
3.7,70.6,2.3,2.1,6.1,0
1.5,45.3,4.2,3.3,8.8,0
6.0,88.3,3.5,7.4,5.5,1
1.2,63.2,5.0,2.5,8.6,0
3.6,93.3,5.1,6.7,8.4,1
9.6,65.5,4.7,7.5,9.7,1
10.0,76.1,4.6,6.7,4.0,1
7.7,59.9,2.7,4.9,7.7,1
3.1,53.8,2.2,7.6,8.1,1
6.9,87.6,3.6,6.8,9.5,1
7.1,72.3,8.1,3.7,9.3,1
3.9,74.5,9.9,6.5,6.6,1
6.4,98.1,9.4,9.1,6.6,1
0.1,98.0,6.0,7.3,3.3,1
2.1,92.1,6.3,5.8,9.8,1
5.3,55.3,4.5,4.6,4.0,0
1.6,77.7,8.2,2.7,7.8,0
1.7,93.3,8.1,4.0,8.4,1
8.4,65.6,8.8,2.1,5.5,1
9.9,50.6,9.2,9.9,3.7,1
5.6,89.6,5.5,3.8,3.5,0
8.4,71.5,8.1,8.5,8.9,1
9.9,76.0,8.5,3.3,6.1,1
1.4,99.0,4.5,4.3,2.7,0
4.5,78.4,9.4,5.3,7.7,1
3.9,68.4,2.8,4.6,4.0,0
0.8,65.3,10.0,8.4,9.0,1
7.6,68.0,8.2,9.7,4.5,1
4.3,51.5,2.7,9.0,3.6,0
4.7,88.7,7.2,3.2,2.7,0
1.5,91.1,2.3,8.2,6.1,1
1.8,60.6,8.2,3.2,5.6,0
9.1,61.7,8.4,9.3,8.0,1
0.4,93.1,6.8,6.1,5.7,1
2.3,46.3,8.9,4.7,4.8,0
2.9,73.6,2.8,3.3,4.1,0
4.9,70.5,4.2,2.1,4.2,0
5.9,83.0,5.3,4.0,9.4,1
4.9,54.0,2.3,9.3,3.3,0
0.8,81.8,5.6,8.4,9.9,1
2.4,65.7,4.1,9.8,4.6,1
8.4,79.0,5.1,2.8,2.7,0
6.4,47.2,5.4,6.7,4.0,0
6.5,70.4,9.0,4.1,2.5,1
6.7,73.7,4.2,6.3,8.3,1
7.6,56.8,9.1,4.6,6.1,1
0.6,52.7,5.4,4.3,4.7,0
3.7,55.4,4.6,6.6,7.3,1
5.4,63.9,6.0,3.5,7.0,0
3.4,50.3,5.3,5.8,9.5,1
8.4,97.1,4.1,7.2,9.7,1
4.8,67.3,6.0,3.0,7.4,1
7.7,89.5,3.2,9.4,8.5,1
8.5,98.6,4.8,6.0,8.3,1
5.0,49.4,6.5,8.6,5.9,1
9.1,80.8,5.3,7.2,7.6,1
5.9,92.9,8.6,7.7,2.6,1
8.5,79.9,4.1,7.7,8.1,1
3.4,68.6,9.8,9.0,9.7,1
5.0,68.7,8.3,6.9,2.7,1
5.3,47.0,9.7,4.2,8.7,1
1.0,74.4,8.7,2.8,9.5,1
4.0,99.6,3.1,6.9,3.8,0
9.2,97.7,6.2,2.5,6.2,1
6.3,47.2,3.4,3.9,9.4,0
1.8,83.8,8.5,2.5,9.7,1
3.4,61.6,6.7,6.4,3.0,0
1.9,94.7,4.1,3.3,4.8,0
0.2,47.5,9.4,6.9,7.6,0
9.3,96.5,2.9,8.3,3.8,1
4.5,91.1,6.5,8.6,4.6,1
3.1,51.5,7.8,4.5,2.2,0
6.0,48.3,2.5,6.4,3.2,0
0.1,90.9,6.8,6.5,6.5,1
2.8,53.6,8.5,5.8,7.2,1
7.0,74.4,2.5,7.2,7.2,1
6.3,95.4,6.1,3.7,8.2,1
9.8,76.2,4.1,9.8,5.3,1
6.2,66.8,7.3,2.8,4.2,0
4.8,69.5,2.9,8.6,2.1,0
7.6,48.5,9.5,6.8,3.7,1
9.0,98.3,9.2,4.0,4.5,1
7.2,62.1,3.5,8.0,3.4,1
9.6,55.4,4.6,2.7,2.2,0
7.8,60.7,6.7,8.2,3.3,1
8.7,98.0,7.7,6.7,7.3,1
1.1,50.2,5.5,2.9,7.0,0
7.3,92.7,3.3,2.6,9.5,1
4.4,83.9,2.8,8.0,8.4,1
5.5,90.7,10.0,4.3,6.5,1
6.5,98.7,5.6,9.1,3.1,1
9.7,91.3,9.0,8.1,6.5,1
9.8,96.9,5.9,7.6,2.5,1
2.9,52.0,9.4,4.2,5.4,0
7.3,88.8,2.7,7.7,5.1,1
7.5,75.0,2.9,9.6,5.4,1
3.5,74.9,9.4,2.7,4.2,0
1.2,94.4,9.6,4.6,7.5,1
0.4,98.4,4.5,3.9,8.7,1
7.8,83.8,4.8,5.1,8.1,1
4.9,71.6,5.6,7.9,7.0,1
9.9,70.1,5.3,5.8,6.3,1
4.6,66.2,3.5,6.6,2.2,0
9.8,64.9,9.2,4.5,7.8,1
4.1,66.5,4.0,3.1,6.4,0
7.9,49.9,7.6,4.1,4.2,1
0.8,49.3,2.5,8.9,4.6,0
5.6,87.9,2.3,6.8,9.5,1
8.0,69.5,7.2,5.0,7.0,1
9.2,96.2,4.7,8.3,5.8,1
8.2,78.7,7.2,2.5,7.0,1
0.4,46.9,2.8,4.0,5.3,0
